Depth,Call Numerical,Call BS,Call error,Put Numerical,Put BS,Put error
3480,0.814062,0.814219,0.000157,3.710987,3.711144,0.000157
3490,0.814063,0.814219,0.000157,3.710988,3.711144,0.000157
3500,0.814063,0.814219,0.000156,3.710988,3.711144,0.000156
3510,0.814064,0.814219,0.000156,3.710989,3.711144,0.000156
3520,0.814064,0.814219,0.000155,3.710989,3.711144,0.000155
3530,0.814065,0.814219,0.000155,3.710989,3.711144,0.000155
3540,0.814065,0.814219,0.000154,3.710990,3.711144,0.000154
3550,0.814065,0.814219,0.000154,3.710990,3.711144,0.000154
3560,0.814066,0.814219,0.000154,3.710991,3.711144,0.000154
3570,0.814066,0.814219,0.000153,3.710991,3.711144,0.000153
3580,0.814067,0.814219,0.000153,3.710992,3.711144,0.000153
3590,0.814067,0.814219,0.000152,3.710992,3.711144,0.000152
3600,0.814068,0.814219,0.000152,3.710992,3.711144,0.000152
3610,0.814068,0.814219,0.000151,3.710993,3.711144,0.000151
3620,0.814068,0.814219,0.000151,3.710993,3.711144,0.000151
3630,0.814069,0.814219,0.000151,3.710994,3.711144,0.000151
3640,0.814069,0.814219,0.000150,3.710994,3.711144,0.000150
3650,0.814070,0.814219,0.000150,3.710995,3.711144,0.000150
3660,0.814070,0.814219,0.000149,3.710995,3.711144,0.000149
3670,0.814070,0.814219,0.000149,3.710995,3.711144,0.000149
3680,0.814071,0.814219,0.000149,3.710996,3.711144,0.000149
3690,0.814071,0.814219,0.000148,3.710996,3.711144,0.000148
3700,0.814072,0.814219,0.000148,3.710997,3.711144,0.000148
3710,0.814072,0.814219,0.000147,3.710997,3.711144,0.000147
3720,0.814072,0.814219,0.000147,3.710997,3.711144,0.000147
3730,0.814073,0.814219,0.000147,3.710998,3.711144,0.000147
3740,0.814073,0.814219,0.000146,3.710998,3.711144,0.000146
3750,0.814074,0.814219,0.000146,3.710999,3.711144,0.000146
3760,0.814074,0.814219,0.000145,3.710999,3.711144,0.000145
3770,0.814074,0.814219,0.000145,3.710999,3.711144,0.000145
3780,0.814075,0.814219,0.000145,3.711000,3.711144,0.000145
3790,0.814075,0.814219,0.000144,3.711000,3.711144,0.000144
3800,0.814076,0.814219,0.000144,3.711000,3.711144,0.000144
3810,0.814076,0.814219,0.000144,3.711001,3.711144,0.000144
3820,0.814076,0.814219,0.000143,3.711001,3.711144,0.000143
3830,0.814077,0.814219,0.000143,3.711002,3.711144,0.000143
3840,0.814077,0.814219,0.000142,3.711002,3.711144,0.000142
3850,0.814077,0.814219,0.000142,3.711002,3.711144,0.000142
3860,0.814078,0.814219,0.000142,3.711003,3.711144,0.000142
3870,0.814078,0.814219,0.000141,3.711003,3.711144,0.000141
3880,0.814079,0.814219,0.000141,3.711003,3.711144,0.000141
3890,0.814079,0.814219,0.000141,3.711004,3.711144,0.000141
3900,0.814079,0.814219,0.000140,3.711004,3.711144,0.000140
3910,0.814080,0.814219,0.000140,3.711004,3.711144,0.000140
3920,0.814080,0.814219,0.000140,3.711005,3.711144,0.000140
3930,0.814080,0.814219,0.000139,3.711005,3.711144,0.000139
3940,0.814081,0.814219,0.000139,3.711006,3.711144,0.000139
3950,0.814081,0.814219,0.000138,3.711006,3.711144,0.000138
3960,0.814081,0.814219,0.000138,3.711006,3.711144,0.000138
3970,0.814082,0.814219,0.000138,3.711007,3.711144,0.000138
3980,0.814082,0.814219,0.000137,3.711007,3.711144,0.000137
3990,0.814082,0.814219,0.000137,3.711007,3.711144,0.000137
4000,0.814083,0.814219,0.000137,3.711008,3.711144,0.000137
